Sentence,Subject_ID,Condition_ID,correctness
A vandalized stop sign in the dark with a sky background.,2f19f9ae48a67f4e2b28506beb1da0d1,correct,1
A cat sitting on the hood of a parked black car in a garage.,2f19f9ae48a67f4e2b28506beb1da0d1,no,0
A vandalized stop sign in the dark with a sky background.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
"Two ceramic cups, one with a bird and the other with a fox.",f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A group of elephants being cleaned by their handlers in a river.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A bird sits atop a wooden post and watches its surroundings.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A woman and man sit under a large blue umbrella on a grassy lot.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
Two giraffes standing on a dirt expanse with trees in background.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
An outdoor market has a wide variety of fruit to choose from.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
Several containers of food and beverages on a wooden table outdoors.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
A man walking with an umbrella near a railing above a river.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
People are on the beach flying kites that look like arches in the sky.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A man holding a baby while standing in front of a mirror.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A teddy bear is sitting on the rail of a wire fence.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A person holding an object in front of a panda bear.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
A refrigerator mostly empty with only a few bottles of water inside.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
Some control buttons on an orange and silver electronic device.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
A girl in an orange sweater is sitting on a skateboard.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
People watch from a large boat as a smaller boat is lowered into the ocean.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A cat sitting on the hood of a parked black car in a garage.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
Plates of food and two glasses of red wine are on a table.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A woman in a white shirt standing in front of a fence smiling.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A tray topped with a chicken sandwich next to a cup of fries.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
The bench is in a shady area surrounded by plants.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A city skyline is shown with a subway train coming around the bend.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
An old man sitting on a bench in a public park.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A huge dragon kite flown with a steeple in the background.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A toddler is sitting on a blanket outdoors eating an apple.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A stop sign located at the intersection of East Village and Woodfield Rd.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
"A dried black flower in a long, tall black and white vase.",f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A tennis player makes a quick shuffle to return the ball.,f1152d97649e0ba03f95fb6b8bfab9c8,wrong,1
A baby elephant walking through a shallow pool of flowing water.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
A giraffe standing in front of a grassy plain and blue sky.,f1152d97649e0ba03f95fb6b8bfab9c8,no,1
A heavily lit-up building in front of a river.,f1152d97649e0ba03f95fb6b8bfab9c8,correct,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",9b4363d50773eaa7cc373a725bf2ea96,wrong,1
"A dried black flower in a long, tall black and white vase.",9b4363d50773eaa7cc373a725bf2ea96,no,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
An old man sitting on a bench in a public park.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A tray topped with a chicken sandwich next to a cup of fries.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
People watch from a large boat as a smaller boat is lowered into the ocean.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A woman and man sit under a large blue umbrella on a grassy lot.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A huge dragon kite flown with a steeple in the background.,9b4363d50773eaa7cc373a725bf2ea96,no,1
"Two ceramic cups, one with a bird and the other with a fox.",9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A group of elephants being cleaned by their handlers in a river.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A tennis player makes a quick shuffle to return the ball.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
Two giraffes standing on a dirt expanse with trees in background.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A teddy bear is sitting on the rail of a wire fence.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
An outdoor market has a wide variety of fruit to choose from.,9b4363d50773eaa7cc373a725bf2ea96,no,1
Some control buttons on an orange and silver electronic device.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A city skyline is shown with a subway train coming around the bend.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A man holding a baby while standing in front of a mirror.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A woman in a white shirt standing in front of a fence smiling.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A girl in an orange sweater is sitting on a skateboard.,9b4363d50773eaa7cc373a725bf2ea96,no,1
Several containers of food and beverages on a wooden table outdoors.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A toddler is sitting on a blanket outdoors eating an apple.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
People are on the beach flying kites that look like arches in the sky.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A man walking with an umbrella near a railing above a river.,9b4363d50773eaa7cc373a725bf2ea96,no,1
The bench is in a shady area surrounded by plants.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A giraffe standing in front of a grassy plain and blue sky.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A bird sits atop a wooden post and watches its surroundings.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A stop sign located at the intersection of East Village and Woodfield Rd.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A baby elephant walking through a shallow pool of flowing water.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A refrigerator mostly empty with only a few bottles of water inside.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
A person holding an object in front of a panda bear.,9b4363d50773eaa7cc373a725bf2ea96,correct,1
Plates of food and two glasses of red wine are on a table.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A vandalized stop sign in the dark with a sky background.,9b4363d50773eaa7cc373a725bf2ea96,no,1
A heavily lit-up building in front of a river.,9b4363d50773eaa7cc373a725bf2ea96,correct,0
A cat sitting on the hood of a parked black car in a garage.,9b4363d50773eaa7cc373a725bf2ea96,wrong,1
A man holding a baby while standing in front of a mirror.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
People are on the beach flying kites that look like arches in the sky.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A girl in an orange sweater is sitting on a skateboard.,b76d3c84513d47fff74d624f28fd24c0,no,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",b76d3c84513d47fff74d624f28fd24c0,wrong,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",b76d3c84513d47fff74d624f28fd24c0,wrong,1
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
People watch from a large boat as a smaller boat is lowered into the ocean.,b76d3c84513d47fff74d624f28fd24c0,no,1
A refrigerator mostly empty with only a few bottles of water inside.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A giraffe standing in front of a grassy plain and blue sky.,b76d3c84513d47fff74d624f28fd24c0,no,1
A tennis player makes a quick shuffle to return the ball.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
A huge dragon kite flown with a steeple in the background.,b76d3c84513d47fff74d624f28fd24c0,no,1
Two giraffes standing on a dirt expanse with trees in background.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,b76d3c84513d47fff74d624f28fd24c0,correct,1
Plates of food and two glasses of red wine are on a table.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
Some control buttons on an orange and silver electronic device.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A group of elephants being cleaned by their handlers in a river.,b76d3c84513d47fff74d624f28fd24c0,no,1
A stop sign located at the intersection of East Village and Woodfield Rd.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A person holding an object in front of a panda bear.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A tray topped with a chicken sandwich next to a cup of fries.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A baby elephant walking through a shallow pool of flowing water.,b76d3c84513d47fff74d624f28fd24c0,correct,1
An old man sitting on a bench in a public park.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
A toddler is sitting on a blanket outdoors eating an apple.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
A teddy bear is sitting on the rail of a wire fence.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
"A dried black flower in a long, tall black and white vase.",b76d3c84513d47fff74d624f28fd24c0,no,1
A vandalized stop sign in the dark with a sky background.,b76d3c84513d47fff74d624f28fd24c0,no,1
A heavily lit-up building in front of a river.,b76d3c84513d47fff74d624f28fd24c0,correct,1
An outdoor market has a wide variety of fruit to choose from.,b76d3c84513d47fff74d624f28fd24c0,no,1
A bird sits atop a wooden post and watches its surroundings.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A city skyline is shown with a subway train coming around the bend.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A woman in a white shirt standing in front of a fence smiling.,b76d3c84513d47fff74d624f28fd24c0,no,1
"Two ceramic cups, one with a bird and the other with a fox.",b76d3c84513d47fff74d624f28fd24c0,wrong,1
A woman and man sit under a large blue umbrella on a grassy lot.,b76d3c84513d47fff74d624f28fd24c0,no,1
The bench is in a shady area surrounded by plants.,b76d3c84513d47fff74d624f28fd24c0,no,1
Several containers of food and beverages on a wooden table outdoors.,b76d3c84513d47fff74d624f28fd24c0,correct,1
A cat sitting on the hood of a parked black car in a garage.,b76d3c84513d47fff74d624f28fd24c0,wrong,1
A man walking with an umbrella near a railing above a river.,b76d3c84513d47fff74d624f28fd24c0,no,1
A baby elephant walking through a shallow pool of flowing water.,285afef3614aea16c6874ba5eef72fec,no,1
A teddy bear is sitting on the rail of a wire fence.,285afef3614aea16c6874ba5eef72fec,correct,1
A stop sign located at the intersection of East Village and Woodfield Rd.,285afef3614aea16c6874ba5eef72fec,no,1
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,285afef3614aea16c6874ba5eef72fec,correct,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",285afef3614aea16c6874ba5eef72fec,correct,1
A tennis player makes a quick shuffle to return the ball.,285afef3614aea16c6874ba5eef72fec,correct,1
An old man sitting on a bench in a public park.,285afef3614aea16c6874ba5eef72fec,correct,1
A toddler is sitting on a blanket outdoors eating an apple.,285afef3614aea16c6874ba5eef72fec,correct,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",285afef3614aea16c6874ba5eef72fec,correct,1
Some control buttons on an orange and silver electronic device.,285afef3614aea16c6874ba5eef72fec,no,1
Several containers of food and beverages on a wooden table outdoors.,285afef3614aea16c6874ba5eef72fec,no,1
People are on the beach flying kites that look like arches in the sky.,285afef3614aea16c6874ba5eef72fec,no,1
A group of elephants being cleaned by their handlers in a river.,285afef3614aea16c6874ba5eef72fec,wrong,1
People watch from a large boat as a smaller boat is lowered into the ocean.,285afef3614aea16c6874ba5eef72fec,wrong,1
"Two ceramic cups, one with a bird and the other with a fox.",285afef3614aea16c6874ba5eef72fec,correct,1
A giraffe standing in front of a grassy plain and blue sky.,285afef3614aea16c6874ba5eef72fec,wrong,1
A woman and man sit under a large blue umbrella on a grassy lot.,285afef3614aea16c6874ba5eef72fec,wrong,0
The bench is in a shady area surrounded by plants.,285afef3614aea16c6874ba5eef72fec,wrong,1
A person holding an object in front of a panda bear.,285afef3614aea16c6874ba5eef72fec,no,1
A man holding a baby while standing in front of a mirror.,285afef3614aea16c6874ba5eef72fec,correct,1
A girl in an orange sweater is sitting on a skateboard.,285afef3614aea16c6874ba5eef72fec,wrong,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,285afef3614aea16c6874ba5eef72fec,no,1
A cat sitting on the hood of a parked black car in a garage.,285afef3614aea16c6874ba5eef72fec,correct,1
A huge dragon kite flown with a steeple in the background.,285afef3614aea16c6874ba5eef72fec,wrong,1
A tray topped with a chicken sandwich next to a cup of fries.,285afef3614aea16c6874ba5eef72fec,no,1
Two giraffes standing on a dirt expanse with trees in background.,285afef3614aea16c6874ba5eef72fec,correct,1
Plates of food and two glasses of red wine are on a table.,285afef3614aea16c6874ba5eef72fec,correct,1
A vandalized stop sign in the dark with a sky background.,285afef3614aea16c6874ba5eef72fec,wrong,1
A heavily lit-up building in front of a river.,285afef3614aea16c6874ba5eef72fec,no,1
A city skyline is shown with a subway train coming around the bend.,285afef3614aea16c6874ba5eef72fec,no,1
A woman in a white shirt standing in front of a fence smiling.,285afef3614aea16c6874ba5eef72fec,wrong,1
An outdoor market has a wide variety of fruit to choose from.,285afef3614aea16c6874ba5eef72fec,wrong,1
A man walking with an umbrella near a railing above a river.,285afef3614aea16c6874ba5eef72fec,wrong,0
"A dried black flower in a long, tall black and white vase.",285afef3614aea16c6874ba5eef72fec,wrong,1
A refrigerator mostly empty with only a few bottles of water inside.,285afef3614aea16c6874ba5eef72fec,no,1
A bird sits atop a wooden post and watches its surroundings.,285afef3614aea16c6874ba5eef72fec,no,1
A vandalized stop sign in the dark with a sky background.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A baby elephant walking through a shallow pool of flowing water.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
An old man sitting on a bench in a public park.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
"Two ceramic cups, one with a bird and the other with a fox.",8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
An outdoor market has a wide variety of fruit to choose from.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A tennis player makes a quick shuffle to return the ball.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
A woman in a white shirt standing in front of a fence smiling.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
Several containers of food and beverages on a wooden table outdoors.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
A person holding an object in front of a panda bear.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
People watch from a large boat as a smaller boat is lowered into the ocean.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A giraffe standing in front of a grassy plain and blue sky.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A heavily lit-up building in front of a river.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
A huge dragon kite flown with a steeple in the background.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A city skyline is shown with a subway train coming around the bend.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
Some control buttons on an orange and silver electronic device.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
A stop sign located at the intersection of East Village and Woodfield Rd.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
A bird sits atop a wooden post and watches its surroundings.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
Two giraffes standing on a dirt expanse with trees in background.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
A tray topped with a chicken sandwich next to a cup of fries.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,0
A group of elephants being cleaned by their handlers in a river.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A man holding a baby while standing in front of a mirror.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,0
Plates of food and two glasses of red wine are on a table.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
A teddy bear is sitting on the rail of a wire fence.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
A cat sitting on the hood of a parked black car in a garage.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
The bench is in a shady area surrounded by plants.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,0
A refrigerator mostly empty with only a few bottles of water inside.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
People are on the beach flying kites that look like arches in the sky.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,no,1
"A dried black flower in a long, tall black and white vase.",8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
A man walking with an umbrella near a railing above a river.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A toddler is sitting on a blanket outdoors eating an apple.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,1
A woman and man sit under a large blue umbrella on a grassy lot.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",8fbd1da2cb73f8175c3a1fdd6a4e89b4,correct,0
A girl in an orange sweater is sitting on a skateboard.,8fbd1da2cb73f8175c3a1fdd6a4e89b4,wrong,1
A stop sign located at the intersection of East Village and Woodfield Rd.,545b2e5d9db81d936d7f81eae131ee18,no,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,545b2e5d9db81d936d7f81eae131ee18,no,1
"A dried black flower in a long, tall black and white vase.",545b2e5d9db81d936d7f81eae131ee18,wrong,1
Two giraffes standing on a dirt expanse with trees in background.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A vandalized stop sign in the dark with a sky background.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
An outdoor market has a wide variety of fruit to choose from.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
A toddler is sitting on a blanket outdoors eating an apple.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A young woman sitting on a curb next to a fire hydrant writing on a notepad.,545b2e5d9db81d936d7f81eae131ee18,correct,0
"Two ceramic cups, one with a bird and the other with a fox.",545b2e5d9db81d936d7f81eae131ee18,correct,1
A baby elephant walking through a shallow pool of flowing water.,545b2e5d9db81d936d7f81eae131ee18,no,1
A woman in a white shirt standing in front of a fence smiling.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
A city skyline is shown with a subway train coming around the bend.,545b2e5d9db81d936d7f81eae131ee18,no,1
Plates of food and two glasses of red wine are on a table.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A man walking with an umbrella near a railing above a river.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
People are on the beach flying kites that look like arches in the sky.,545b2e5d9db81d936d7f81eae131ee18,no,1
Some control buttons on an orange and silver electronic device.,545b2e5d9db81d936d7f81eae131ee18,no,1
People watch from a large boat as a smaller boat is lowered into the ocean.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",545b2e5d9db81d936d7f81eae131ee18,correct,1
A heavily lit-up building in front of a river.,545b2e5d9db81d936d7f81eae131ee18,no,1
A tennis player makes a quick shuffle to return the ball.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A huge dragon kite flown with a steeple in the background.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
A teddy bear is sitting on the rail of a wire fence.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A woman and man sit under a large blue umbrella on a grassy lot.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
The bench is in a shady area surrounded by plants.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
An old man sitting on a bench in a public park.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A person holding an object in front of a panda bear.,545b2e5d9db81d936d7f81eae131ee18,no,1
A refrigerator mostly empty with only a few bottles of water inside.,545b2e5d9db81d936d7f81eae131ee18,no,1
A girl in an orange sweater is sitting on a skateboard.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
A man holding a baby while standing in front of a mirror.,545b2e5d9db81d936d7f81eae131ee18,correct,1
Several containers of food and beverages on a wooden table outdoors.,545b2e5d9db81d936d7f81eae131ee18,no,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",545b2e5d9db81d936d7f81eae131ee18,correct,0
A cat sitting on the hood of a parked black car in a garage.,545b2e5d9db81d936d7f81eae131ee18,correct,1
A tray topped with a chicken sandwich next to a cup of fries.,545b2e5d9db81d936d7f81eae131ee18,no,1
A giraffe standing in front of a grassy plain and blue sky.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
A group of elephants being cleaned by their handlers in a river.,545b2e5d9db81d936d7f81eae131ee18,wrong,1
A bird sits atop a wooden post and watches its surroundings.,545b2e5d9db81d936d7f81eae131ee18,no,1
A tray topped with a chicken sandwich next to a cup of fries.,ae9fe97862264a1480c8211d266475b8,correct,1
Plates of food and two glasses of red wine are on a table.,ae9fe97862264a1480c8211d266475b8,wrong,1
"Two men are posing for a photo, one man is holding a slice of pizza on a plate, and they are surrounded by other people sitting at tables.",ae9fe97862264a1480c8211d266475b8,wrong,1
A man walking with an umbrella near a railing above a river.,ae9fe97862264a1480c8211d266475b8,no,1
A bird sits atop a wooden post and watches its surroundings.,ae9fe97862264a1480c8211d266475b8,correct,1
Two giraffes standing on a dirt expanse with trees in background.,ae9fe97862264a1480c8211d266475b8,wrong,0
"A dried black flower in a long, tall black and white vase.",ae9fe97862264a1480c8211d266475b8,no,1
A person holding an object in front of a panda bear.,ae9fe97862264a1480c8211d266475b8,correct,1
"An empty clean kitchen with cabinetry, stove and dishwasher.",ae9fe97862264a1480c8211d266475b8,wrong,1
A toddler is sitting on a blanket outdoors eating an apple.,ae9fe97862264a1480c8211d266475b8,wrong,1
Several containers of food and beverages on a wooden table outdoors.,ae9fe97862264a1480c8211d266475b8,correct,1
A man holding a baby while standing in front of a mirror.,ae9fe97862264a1480c8211d266475b8,wrong,1
A refrigerator mostly empty with only a few bottles of water inside.,ae9fe97862264a1480c8211d266475b8,correct,1
The bench is in a shady area surrounded by plants.,ae9fe97862264a1480c8211d266475b8,no,1
People are on the beach flying kites that look like arches in the sky.,ae9fe97862264a1480c8211d266475b8,correct,1
A batter swinging a bat at a baseball with the catcher and umpire behind him.,ae9fe97862264a1480c8211d266475b8,correct,1
Some control buttons on an orange and silver electronic device.,ae9fe97862264a1480c8211d266475b8,correct,1
A giraffe standing in front of a grassy plain and blue sky.,ae9fe97862264a1480c8211d266475b8,no,0
An outdoor market has a wide variety of fruit to choose from.,ae9fe97862264a1480c8211d266475b8,no,1
A stop sign located at the intersection of East Village and Woodfield Rd.,ae9fe97862264a1480c8211d266475b8,correct,1
A huge dragon kite flown with a steeple in the background.,ae9fe97862264a1480c8211d266475b8,no,1
A teddy bear is sitting on the rail of a wire fence.,ae9fe97862264a1480c8211d266475b8,wrong,1
